model,condition,domain,pred_len,mse_mean,mse_std,n_seeds
aurora,C6_unimodal,Agriculture,10,0.30755509932835895,0.007586658013258023,3
aurora,C6_unimodal,Agriculture,12,0.372310866912206,0.007816465439184763,3
aurora,C6_unimodal,Climate,6,0.8580197691917419,0.004846989558760085,3
aurora,C6_unimodal,Climate,8,0.8628936012585958,0.0020500940032611393,3
aurora,C6_unimodal,Climate,10,0.865082303682963,0.0010324832052350246,3
aurora,C6_unimodal,Climate,12,0.8732882936795553,0.0007717161260530016,3
aurora,C6_unimodal,Economy,6,0.03598412747184435,0.0018821101100535925,3
aurora,C6_unimodal,Economy,8,0.03349086890618006,0.0009088040007885938,3
aurora,C6_unimodal,Economy,10,0.031133659804860752,0.0007583139420827652,3
aurora,C6_unimodal,Economy,12,0.03232485925157865,0.0006060564808942935,3
aurora,C6_unimodal,Energy,12,0.11931762595971425,0.0015206517153176623,3
aurora,C6_unimodal,Energy,24,0.22513354321320853,0.0016722456549633155,3
aurora,C6_unimodal,Energy,36,0.2912211815516154,0.0003825832371640033,3
aurora,C6_unimodal,Energy,48,0.3836613595485687,0.0018893297514228189,3
aurora,C6_unimodal,Environment,48,0.2804386417071025,0.00017321824134185023,3
aurora,C6_unimodal,Environment,96,0.2844359676043193,9.686929069149554e-05,3
aurora,C6_unimodal,Environment,192,0.27029024561246234,3.811819945933036e-05,3
aurora,C6_unimodal,Environment,336,0.26904967427253723,4.987491442799101e-05,3
aurora,C6_unimodal,Health,12,1.0923165877660115,0.0031301103126516057,3
aurora,C6_unimodal,Health,24,1.5687598784764607,0.0011344481269868008,3
aurora,C6_unimodal,Health,36,1.690741777420044,0.005252884628996366,3
aurora,C6_unimodal,Health,48,1.8583023150761921,0.0028920691098465743,3
aurora,C6_unimodal,Security,6,67.40186818440755,0.09655061518378294,3
aurora,C6_unimodal,Security,8,70.76546223958333,0.3282095959663713,3
aurora,C6_unimodal,Security,10,74.94325256347656,0.9703859683525122,3
aurora,C6_unimodal,Security,12,77.77908833821614,0.13299099464996167,3
aurora,C6_unimodal,SocialGood,6,0.7042396267255148,0.002204241431764316,3
aurora,C6_unimodal,SocialGood,8,0.8034006158510844,0.004574605218204493,3
aurora,C6_unimodal,SocialGood,10,0.8834358056386312,0.0022123135191278293,3
aurora,C6_unimodal,SocialGood,12,0.9523283640543619,0.004309268812359339,3
aurora,C6_unimodal,Traffic,6,0.15452562272548676,0.0007042843545997095,3
aurora,C6_unimodal,Traffic,8,0.1586067130168279,0.0007111278396833759,3
aurora,C6_unimodal,Traffic,10,0.1628633439540863,0.00089540379136224,3
aurora,C6_unimodal,Traffic,12,0.1684862126906713,0.00030132509636146375,3
aurora,C7_null,Agriculture,6,0.18145253757635751,0.0035119550285351757,3
aurora,C7_null,Agriculture,8,0.23922346532344818,0.0015965701394961853,3
aurora,C7_null,Agriculture,10,0.3076190749804179,0.007698105886636413,3
aurora,C7_null,Agriculture,12,0.3722591499487559,0.007755450429342953,3
aurora,C7_null,Climate,6,0.8580913543701172,0.0048432039062759604,3
aurora,C7_null,Climate,8,0.863025983174642,0.0020477971345255856,3
aurora,C7_null,Climate,10,0.8652432759602865,0.0010269747668131422,3
aurora,C7_null,Climate,12,0.8734646836916605,0.0007701183807960509,3
aurora,C7_null,Economy,6,0.035314331452051796,0.0019084352922133325,3
aurora,C7_null,Economy,8,0.03289268538355827,0.0009603291991001022,3
aurora,C7_null,Economy,10,0.030593618750572205,0.0007812073151436508,3
aurora,C7_null,Economy,12,0.03192826360464096,0.0006245532321231725,3
aurora,C7_null,Energy,12,0.11834982534249623,0.0014620823140114698,3
aurora,C7_null,Energy,24,0.22568914790948233,0.001644788183864228,3
aurora,C7_null,Energy,36,0.2923514246940613,0.0003791017782378292,3
aurora,C7_null,Energy,48,0.38525984684626263,0.00183269424057487,3
aurora,C7_null,Environment,48,0.2803932825724284,0.000171191513762951,3
aurora,C7_null,Environment,96,0.28434919317563373,9.529894242060257e-05,3
aurora,C7_null,Environment,192,0.27020716667175293,3.776617507520063e-05,3
aurora,C7_null,Environment,336,0.2689448893070221,5.167733873588428e-05,3
aurora,C7_null,Health,12,1.092513640721639,0.0031288402304640783,3
aurora,C7_null,Health,24,1.5685954491297405,0.0011351085411062092,3
aurora,C7_null,Health,36,1.6888508399327595,0.005239963719075089,3
aurora,C7_null,Health,48,1.8567481835683186,0.002887210243078175,3
aurora,C7_null,Security,6,67.4180679321289,0.09621233972547101,3
aurora,C7_null,Security,8,70.7840067545573,0.32965540360456524,3
aurora,C7_null,Security,10,74.96911112467448,0.9764962972711716,3
aurora,C7_null,Security,12,77.80355072021484,0.13274636883655658,3
aurora,C7_null,SocialGood,6,0.7046186129252116,0.002207307334612362,3
aurora,C7_null,SocialGood,8,0.8037500977516174,0.004598821049950883,3
aurora,C7_null,SocialGood,10,0.8836870193481445,0.0023702811321302066,3
aurora,C7_null,SocialGood,12,0.9523348410924276,0.0043025551402960695,3
aurora,C7_null,Traffic,6,0.15473069747289023,0.0007111842136815265,3
aurora,C7_null,Traffic,8,0.15879597763220468,0.0007124884314602414,3
aurora,C7_null,Traffic,10,0.16302975515524545,0.0009037428810080213,3
aurora,C7_null,Traffic,12,0.16861694554487863,0.0003038632007620342,3
aurora,C8_oracle,Agriculture,6,0.18147633969783783,0.0034407915623816477,3
aurora,C8_oracle,Agriculture,8,0.23929423093795776,0.0016479431850163627,3
aurora,C8_oracle,Agriculture,10,0.3075969914595286,0.007597873568811614,3
aurora,C8_oracle,Agriculture,12,0.3723060091336568,0.0077610063703453976,3
aurora,C8_oracle,Climate,6,0.8579492966334025,0.004851164371891038,3
aurora,C8_oracle,Climate,8,0.8630491097768148,0.002062757921811513,3
aurora,C8_oracle,Climate,10,0.8653466502825419,0.0010279593823926138,3
aurora,C8_oracle,Climate,12,0.8736251990000407,0.0007693895924942428,3
aurora,C8_oracle,Economy,6,0.037589763601620994,0.0018817408539847206,3
aurora,C8_oracle,Economy,8,0.03494746486345927,0.0007649046797411896,3
aurora,C8_oracle,Economy,10,0.032373315344254174,0.0007992241189739927,3
aurora,C8_oracle,Economy,12,0.0335068441927433,0.0005402740517137046,3
aurora,C8_oracle,Energy,12,0.11945873250563939,0.001516571123560174,3
aurora,C8_oracle,Energy,24,0.22566461066404978,0.001640570820837807,3
aurora,C8_oracle,Energy,36,0.29229862491289776,0.0002823162946720016,3
aurora,C8_oracle,Energy,48,0.38442279895146686,0.0017553214915869968,3
aurora,C8_oracle,Environment,48,0.2804189721743266,0.00017394217394168293,3
aurora,C8_oracle,Environment,96,0.2844389279683431,9.579163848431031e-05,3
aurora,C8_oracle,Environment,192,0.270294725894928,4.000081210937138e-05,3
aurora,C8_oracle,Environment,336,0.2690717975298564,5.065813042860373e-05,3
aurora,C8_oracle,Health,12,1.0937982400258381,0.0030926992606630397,3
aurora,C8_oracle,Health,24,1.5722042322158813,0.0011153645222479517,3
aurora,C8_oracle,Health,36,1.6962776184082031,0.005294341300368123,3
aurora,C8_oracle,Health,48,1.864514986673991,0.003077829658985609,3
aurora,C8_oracle,Security,6,67.49127197265625,0.09088886113360752,3
aurora,C8_oracle,Security,8,70.80389658610027,0.3293868341535277,3
aurora,C8_oracle,Security,10,74.91026814778645,0.9537931879752845,3
aurora,C8_oracle,Security,12,77.69524637858073,0.13790610031159137,3
aurora,C8_oracle,SocialGood,6,0.7112023035685221,0.0018425514689697738,3
aurora,C8_oracle,SocialGood,8,0.811455488204956,0.004530073680729004,3
aurora,C8_oracle,SocialGood,10,0.8916759888331095,0.0024809008085800634,3
aurora,C8_oracle,SocialGood,12,0.9603296120961508,0.004125014988867938,3
aurora,C8_oracle,Traffic,6,0.1561776598294576,0.0007006597932331873,3
aurora,C8_oracle,Traffic,8,0.16017136971155801,0.0006992895447728243,3
aurora,C8_oracle,Traffic,10,0.16420178612073263,0.000915631948380219,3
aurora,C8_oracle,Traffic,12,0.16958324114481607,0.0002944148732691961,3
mmtsflib,C1_original,Agriculture,6,0.14037355594336987,0.10013093592424392,22
mmtsflib,C1_original,Agriculture,8,0.19140330669672592,0.12960237202644673,23
mmtsflib,C1_original,Agriculture,10,0.28206622777950197,0.20297922266515453,21
mmtsflib,C1_original,Agriculture,12,0.2700991854071617,0.18715046289235546,21
mmtsflib,C1_original,Climate,6,1.142198349748339,0.08565388994657724,21
mmtsflib,C1_original,Climate,8,1.1490659713745117,0.07874331465328128,21
mmtsflib,C1_original,Climate,10,1.1442351520061493,0.061565919039225356,20
mmtsflib,C1_original,Climate,12,1.1417031049728394,0.06443799778887178,20
mmtsflib,C1_original,Economy,6,0.24780900669949396,0.31780127758404175,21
mmtsflib,C1_original,Economy,8,0.2821320771638836,0.3245127378093577,21
mmtsflib,C1_original,Economy,10,0.3776202119886875,0.4272644863538289,20
mmtsflib,C1_original,Economy,12,0.3643712973222136,0.47059613320382315,20
mmtsflib,C1_original,Energy,12,0.1921244469426927,0.06178883054087675,21
mmtsflib,C1_original,Energy,24,0.3271249561082749,0.07807336459346509,21
mmtsflib,C1_original,Energy,36,0.4070075954261579,0.07414398882292236,19
mmtsflib,C1_original,Energy,48,0.5032490566372871,0.0728184918516868,20
mmtsflib,C1_original,Environment,48,0.4647100165486336,0.050017414321203095,20
mmtsflib,C1_original,Environment,96,0.4993959739804268,0.04948932742369345,20
mmtsflib,C1_original,Environment,192,0.5102463411657434,0.07153666225892208,19
mmtsflib,C1_original,Environment,336,0.47952190668959366,0.04633781750776315,19
mmtsflib,C1_original,Health,12,1.2808464348316193,0.36522313522537664,20
mmtsflib,C1_original,Health,24,1.5577184663099402,0.2482400384989933,17
mmtsflib,C1_original,Health,36,1.5931491295496623,0.21196546093879418,15
mmtsflib,C1_original,Health,48,1.6959718545277913,0.22834857972521982,15
mmtsflib,C1_original,Security,6,116.88049136891084,9.192477208908329,17
mmtsflib,C1_original,Security,8,119.51779623592601,7.9966325144687245,17
mmtsflib,C1_original,Security,10,121.32601165771484,8.392724376529236,15
mmtsflib,C1_original,Security,12,121.1851567586263,8.78181081095107,15
mmtsflib,C1_original,SocialGood,6,0.9014322792782503,0.1321838765656711,17
mmtsflib,C1_original,SocialGood,8,1.0190316789290483,0.16697279811091967,17
mmtsflib,C1_original,SocialGood,10,1.0223887009280068,0.12852555158433396,14
mmtsflib,C1_original,SocialGood,12,1.083430745771953,0.15351543736942266,14
mmtsflib,C1_original,Traffic,6,0.2051986982425054,0.05334984821647234,15
mmtsflib,C1_original,Traffic,8,0.2211382705718279,0.052664412045880266,16
mmtsflib,C1_original,Traffic,10,0.21498563034193857,0.042053173651481104,14
mmtsflib,C1_original,Traffic,12,0.25105559825897217,0.04310648829542736,14
mmtsflib,C2_empty,Agriculture,6,0.6299147076076932,0.29621894098836155,9
mmtsflib,C2_empty,Agriculture,8,0.7351251045862833,0.4452589861775514,9
mmtsflib,C2_empty,Agriculture,10,0.8960013720724318,0.47193151931013666,9
mmtsflib,C2_empty,Agriculture,12,0.93317268954383,0.40709527913319704,9
mmtsflib,C2_empty,Climate,6,1.2177802854114108,0.15906241685873082,9
mmtsflib,C2_empty,Climate,8,1.2676555845472548,0.19501436017381207,9
mmtsflib,C2_empty,Climate,10,1.2941400872336493,0.18180908208633964,9
mmtsflib,C2_empty,Climate,12,1.268381224738227,0.1530100511134721,9
mmtsflib,C2_empty,Economy,6,0.406103221906556,0.5382989427307082,9
mmtsflib,C2_empty,Economy,8,0.37825798326068455,0.5029276147949907,9
mmtsflib,C2_empty,Economy,10,0.4022454410377476,0.5745289451922428,9
mmtsflib,C2_empty,Economy,12,0.5768394708219502,0.7943207868996428,9
mmtsflib,C2_empty,Energy,12,0.2328876836432351,0.09202348569985568,9
mmtsflib,C2_empty,Energy,24,0.3637481994099087,0.0541422039963668,9
mmtsflib,C2_empty,Energy,36,0.46449849340650773,0.039088363924718664,9
mmtsflib,C2_empty,Energy,48,0.5483851763937209,0.07361215535562551,9
mmtsflib,C2_empty,Environment,48,0.4537956880198585,0.0301615855935446,9
mmtsflib,C2_empty,Environment,96,0.47930075724919635,0.04119848072362328,9
mmtsflib,C2_empty,Environment,192,0.48822450306680465,0.055727505630451805,9
mmtsflib,C2_empty,Environment,336,0.4696238372060988,0.03944519163844687,9
mmtsflib,C2_empty,Health,12,1.3371134201685588,0.4025055429628154,9
mmtsflib,C2_empty,Health,24,1.70118514696757,0.2143453474849225,9
mmtsflib,C2_empty,Health,36,1.850174903869629,0.289521018565309,9
