model,condition,domain,pred_len,mean,std,cv,n_backbones
mmtsflib,C1_original,Agriculture,12,0.30098522785637116,0.2010211540720578,0.6678771430204018,3
tats,C2_empty,Agriculture,10,16.30371716287401,10.858297499013208,0.6660013413222825,3
tats,C9_zero_priors,Agriculture,10,16.3037345012029,10.85827322439081,0.6659991441586393,3
tats,C5_constant,Agriculture,10,16.3037684890959,10.85822604788794,0.6659948621786438,3
mmtsflib,C1_original,Agriculture,8,0.21697260025474763,0.14400665692008585,0.6637089510427011,3
tats,C2_empty,Agriculture,12,16.46757369571262,10.892333450286856,0.6614413058994055,3
tats,C5_constant,Agriculture,12,16.467590782377457,10.892309871458432,0.6614391877599164,3
tats,C9_zero_priors,Agriculture,12,16.46759573618571,10.892302499196898,0.6614385411018,3
mmtsflib,C8_oracle,Agriculture,6,0.14627808373835352,0.09645558141624128,0.6593987216073368,3
tats,C6_unimodal,Agriculture,12,0.34995944797992706,0.22863454723301715,0.6533172587645959,3
mmtsflib,C8_oracle,Agriculture,12,0.2940302648478084,0.19122241447332816,0.6503494277104633,3
mmtsflib,C4_crossdomain,Agriculture,6,0.14418378058407041,0.09349020172870166,0.6484099761428406,3
tats,C6_unimodal,Agriculture,8,0.2587211786044969,0.16766588833086618,0.6480562945609275,3
mmtsflib,C3_shuffled,Agriculture,12,0.2929950894580947,0.18973091787814622,0.6475566475501708,3
mmtsflib,C6_unimodal,Agriculture,12,0.3440028842952516,0.21871409306560488,0.6357914513236651,3
mmtsflib,C4_crossdomain,Agriculture,12,0.2858543031745487,0.1789518872505452,0.6260248149606249,3
mmtsflib,C6_unimodal,Agriculture,8,0.25139349864588845,0.1551489286836821,0.6171556922489235,3
tats,C6_unimodal,Agriculture,10,0.2829925003978941,0.1734300816316253,0.6128433841454404,3
mmtsflib,C6_unimodal,Agriculture,6,0.17900549372037253,0.1096428927058771,0.6125113281559509,3
mmtsflib,C2_empty,Traffic,10,0.38791706164677936,0.23586956232379444,0.60804121716762,3
mmtsflib,C3_shuffled,Agriculture,8,0.2006591508785884,0.12195024057801032,0.6077482140438141,3
mmtsflib,C9_zero_priors,Traffic,10,0.3876839793390698,0.23451759050835214,0.6049194782517495,3
mmtsflib,C4_crossdomain,Agriculture,8,0.19972047044171226,0.12029834861631639,0.6023335932979642,3
mmtsflib,C5_constant,Traffic,10,0.39483012424574965,0.2327160404210342,0.5894080165883883,3
tats,C2_empty,SocialGood,6,3.354058788882362,1.8662640746738997,0.5564196074499265,3
