model,backbone,condition,seed,domain,pred_len,success,mse,mae,wall_s,host
tats,DLinear,C5_constant,2023,Energy,12,True,2.7608730792999268,1.5807660818099976,29.517788466066122,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Environment,96,True,0.48386940360069275,0.49123892188072205,86.52401165501215,ip-172-31-41-215
tats,DLinear,C5_constant,2023,SocialGood,8,True,3.832624912261963,1.657589316368103,30.537331735016778,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Agriculture,12,True,25.719106674194336,5.0502848625183105,26.687806488014758,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Health,12,True,3.0490481853485107,1.192518949508667,30.99713521497324,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Traffic,10,True,9.489298820495605,3.0370309352874756,29.671853657928295,ip-172-31-41-215
tats,DLinear,C5_constant,2023,SocialGood,10,True,4.382566928863525,1.8097054958343506,30.1998526629759,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Economy,12,True,0.12055981159210205,0.2808865010738373,28.252730480977334,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Health,24,True,2.79263973236084,1.1172176599502563,31.514243919984438,ip-172-31-41-215
tats,DLinear,C5_constant,2023,Traffic,8,True,8.520103454589844,2.8716089725494385,27.558989288052544,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Climate,8,True,7.140824317932129,2.4550411701202393,28.707433167961426,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Economy,8,True,0.125702366232872,0.30128365755081177,28.72474679001607,ip-172-31-41-215
tats,DLinear,C5_constant,2022,SocialGood,12,True,4.168877601623535,1.7379748821258545,28.112501358962618,ip-172-31-41-215
tats,DLinear,C5_constant,2022,SocialGood,6,True,4.055389881134033,1.730724573135376,31.935732327052392,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Energy,36,True,3.012387990951538,1.6290416717529297,29.982076236978173,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Health,36,True,2.7061994075775146,1.1224905252456665,28.288149934029207,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Agriculture,10,True,25.659704208374023,5.04803466796875,27.658671988057904,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Climate,6,True,7.122725963592529,2.448322296142578,27.97385775798466,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Economy,6,True,0.17592184245586395,0.3562582731246948,28.423297222005203,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Environment,192,True,0.3870539665222168,0.4279455840587616,82.09275841596536,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Agriculture,8,True,24.571231842041016,4.944404602050781,26.776163181988522,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Security,12,True,117.87393188476562,5.317300796508789,29.39555155998096,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Security,8,True,114.04456329345703,5.12111759185791,28.65304736199323,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Energy,24,True,2.823390245437622,1.5835505723953247,27.866141895996407,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Climate,12,True,7.22003173828125,2.4644887447357178,28.30737728998065,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Climate,10,True,7.4516706466674805,2.5123066902160645,28.25626169599127,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Traffic,12,True,8.910387992858887,2.93471360206604,28.04636740090791,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Security,6,True,111.109619140625,4.94982385635376,26.892710058949888,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Environment,48,True,0.5942957997322083,0.5790476202964783,69.67355340800714,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Economy,10,True,0.1103544682264328,0.266979455947876,25.656847630045377,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Energy,48,True,3.072078227996826,1.6229649782180786,27.63777850905899,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Traffic,6,True,8.794614791870117,2.9159533977508545,31.922372375964187,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Security,10,True,116.94776916503906,5.274435520172119,29.270887276972644,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Agriculture,6,True,24.159475326538086,4.9030914306640625,28.07616245909594,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Environment,336,True,0.5192650556564331,0.5255929231643677,105.06833169492893,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Health,48,True,2.808142900466919,1.1661406755447388,29.983042208012193,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Energy,12,True,2.6633083820343018,1.5487571954727173,29.78642119700089,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Environment,96,True,0.49890756607055664,0.4999827444553375,86.61543769598939,ip-172-31-41-215
tats,DLinear,C5_constant,2022,SocialGood,8,True,4.083680152893066,1.7343387603759766,28.66562141396571,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Agriculture,12,True,25.580772399902344,5.039351463317871,29.33608841500245,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Health,12,True,3.002401351928711,1.1755380630493164,29.102828987990506,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Traffic,10,True,9.367853164672852,3.015526056289673,31.36963259894401,ip-172-31-41-215
tats,DLinear,C5_constant,2022,SocialGood,10,True,4.2589850425720215,1.7765921354293823,30.844887689920142,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Economy,12,True,0.10659273713827133,0.2668547034263611,26.700106968986802,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Health,24,True,2.7767767906188965,1.115668773651123,31.414519115001895,ip-172-31-41-215
tats,DLinear,C5_constant,2022,Traffic,8,True,8.921989440917969,2.9430313110351562,28.262301588896662,ip-172-31-41-215
tats,DLinear,C6_unimodal,2021,Climate,8,True,1.4451526403427124,0.9616837501525879,26.595684017054737,ip-172-31-41-215
tats,DLinear,C6_unimodal,2021,Economy,8,True,0.24341705441474915,0.4277016520500183,26.63950766203925,ip-172-31-41-215
