model,backbone,condition,seed,domain,pred_len,mse,mae,wall_s
mmtsflib,DLinear,C10_empty_keep_priors,2022,Health,48,1.7704660892486572,0.9209587574005127,47.86455047002528
mmtsflib,DLinear,C10_empty_keep_priors,2022,Security,6,104.32596588134766,5.037207126617432,35.90794326097239
mmtsflib,DLinear,C10_empty_keep_priors,2022,Security,8,108.14111328125,5.227344036102295,36.82228251203196
mmtsflib,DLinear,C10_empty_keep_priors,2022,Security,10,111.56575775146484,5.409460067749023,34.34427976200823
mmtsflib,DLinear,C10_empty_keep_priors,2022,Security,12,113.00279998779297,5.450806140899658,36.79610999196302
mmtsflib,DLinear,C10_empty_keep_priors,2022,SocialGood,6,1.0196783542633057,0.6038763523101807,38.67982056399342
mmtsflib,DLinear,C10_empty_keep_priors,2022,SocialGood,8,1.0592262744903564,0.6058191061019897,30.333016267977655
mmtsflib,DLinear,C10_empty_keep_priors,2022,SocialGood,10,1.0934432744979858,0.5707520842552185,32.59650819003582
mmtsflib,DLinear,C10_empty_keep_priors,2022,SocialGood,12,1.2158576250076294,0.653884768486023,23.86116003000643
mmtsflib,DLinear,C10_empty_keep_priors,2022,Traffic,6,0.31240400671958923,0.4162962734699249,42.00124021596275
mmtsflib,DLinear,C10_empty_keep_priors,2022,Traffic,8,0.262722909450531,0.3746962249279022,32.73190561996307
mmtsflib,DLinear,C10_empty_keep_priors,2022,Traffic,10,0.2940051853656769,0.42354318499565125,39.45984488603426
mmtsflib,DLinear,C10_empty_keep_priors,2022,Traffic,12,0.310232013463974,0.4085785448551178,29.38548817305127
mmtsflib,DLinear,C10_empty_keep_priors,2023,Agriculture,6,0.09521236270666122,0.22163677215576172,25.14610095700482
mmtsflib,DLinear,C10_empty_keep_priors,2023,Agriculture,8,0.13153871893882751,0.2979523837566376,24.673223874007817
mmtsflib,DLinear,C10_empty_keep_priors,2023,Agriculture,10,0.18075190484523773,0.2889438271522522,23.048289703030605
mmtsflib,DLinear,C10_empty_keep_priors,2023,Agriculture,12,0.22506241500377655,0.35879161953926086,24.225561982020736
mmtsflib,DLinear,C10_empty_keep_priors,2023,Climate,6,1.2294681072235107,0.9050824046134949,24.651118620997295
mmtsflib,DLinear,C10_empty_keep_priors,2023,Climate,8,1.2579995393753052,0.9206310510635376,37.5973800799693
mmtsflib,DLinear,C10_empty_keep_priors,2023,Climate,10,1.2071993350982666,0.8902606964111328,34.00099598697852
mmtsflib,DLinear,C10_empty_keep_priors,2023,Climate,12,1.2566821575164795,0.9075198769569397,25.677154560980853
mmtsflib,DLinear,C10_empty_keep_priors,2023,Economy,6,0.06092246249318123,0.20272068679332733,36.29657860205043
mmtsflib,DLinear,C10_empty_keep_priors,2023,Economy,8,0.08690422028303146,0.2455694079399109,22.826789340004325
mmtsflib,DLinear,C10_empty_keep_priors,2023,Economy,10,0.07083979994058609,0.21689987182617188,21.399090880993754
